,lmList,bbox,center
0,"[[145, 447, 0], [199, 411, 2], [236, 365, -1], [267, 341, -10], [304, 325, -17], [189, 306, 13], [245, 308, -6], [284, 312, -25], [317, 314, -39], [169, 297, 0], [238, 299, -22], [281, 309, -35], [309, 311, -42], [153, 302, -15], [225, 310, -38], [223, 348, -35], [209, 363, -28], [144, 318, -31], [204, 334, -49], [200, 362, -45], [183, 370, -39]]","(144, 297, 173, 150)","(230, 372)"
1,"[[155, 446, 0], [202, 408, 5], [235, 358, 5], [264, 332, -1], [296, 317, -7], [193, 305, 18], [241, 298, 1], [278, 296, -15], [308, 297, -27], [172, 299, 4], [235, 293, -14], [275, 301, -26], [299, 300, -33], [153, 304, -10], [217, 305, -34], [219, 342, -31], [206, 357, -24], [139, 318, -27], [196, 326, -44], [196, 352, -39], [181, 361, -32]]","(139, 293, 169, 153)","(223, 369)"
2,"[[185, 452, 0], [222, 410, 0], [241, 349, 2], [257, 308, 0], [275, 275, -2], [198, 327, 30], [226, 297, 15], [252, 278, 1], [275, 261, -7], [180, 322, 20], [214, 285, 0], [250, 271, -12], [277, 256, -17], [157, 325, 6], [198, 292, -25], [208, 332, -27], [202, 358, -19], [135, 333, -7], [181, 311, -31], [191, 339, -30], [184, 358, -23]]","(135, 256, 142, 196)","(206, 354)"
3,"[[188, 459, 0], [223, 412, 2], [238, 351, 3], [255, 311, -1], [279, 278, -6], [190, 329, 30], [220, 297, 13], [251, 277, -2], [276, 260, -11], [173, 326, 18], [211, 286, -1], [250, 272, -13], [274, 256, -19], [154, 330, 3], [200, 294, -25], [211, 332, -25], [203, 356, -17], [137, 339, -11], [186, 314, -31], [196, 343, -28], [186, 361, -20]]","(137, 256, 142, 203)","(208, 357)"
4,"[[196, 465, 0], [230, 415, 2], [243, 352, 1], [259, 311, -5], [283, 275, -11], [190, 332, 28], [221, 299, 10], [253, 278, -6], [277, 259, -17], [171, 330, 16], [214, 288, -5], [254, 275, -18], [277, 259, -23], [153, 335, 0], [204, 298, -29], [216, 339, -28], [207, 362, -20], [138, 346, -14], [190, 319, -35], [200, 349, -30], [189, 367, -21]]","(138, 259, 145, 206)","(210, 362)"
5,"[[195, 468, 0], [231, 416, 6], [242, 352, 8], [257, 312, 2], [281, 277, -3], [191, 333, 35], [221, 300, 18], [251, 278, 2], [273, 259, -8], [172, 332, 21], [215, 289, 0], [253, 277, -14], [273, 260, -20], [155, 338, 2], [205, 301, -26], [217, 342, -26], [204, 363, -18], [141, 348, -15], [191, 319, -34], [200, 350, -28], [185, 368, -20]]","(141, 259, 140, 209)","(211, 363)"
6,"[[194, 469, 0], [231, 419, 4], [242, 354, 6], [258, 312, 1], [281, 277, -2], [195, 335, 33], [224, 301, 17], [253, 280, 1], [276, 260, -9], [175, 332, 20], [215, 289, -1], [253, 276, -14], [274, 258, -20], [156, 338, 3], [204, 300, -26], [215, 342, -25], [203, 364, -17], [140, 348, -13], [190, 319, -32], [198, 350, -27], [183, 367, -19]]","(140, 258, 141, 211)","(210, 363)"
7,"[[193, 469, 0], [227, 416, 4], [238, 354, 4], [254, 312, -1], [276, 275, -7], [187, 336, 32], [218, 302, 14], [248, 280, -2], [271, 260, -14], [168, 334, 18], [209, 290, -3], [247, 275, -17], [270, 257, -23], [150, 340, 1], [199, 301, -28], [210, 341, -27], [199, 363, -19], [137, 350, -15], [187, 320, -35], [196, 350, -29], [182, 367, -21]]","(137, 257, 139, 212)","(206, 363)"
8,"[[193, 471, 0], [228, 418, 7], [238, 354, 8], [254, 313, 3], [277, 278, -2], [182, 334, 33], [215, 300, 16], [246, 278, 0], [271, 258, -11], [163, 334, 19], [209, 289, -2], [249, 277, -15], [269, 259, -21], [147, 340, 1], [200, 301, -27], [214, 342, -26], [202, 363, -17], [136, 351, -16], [188, 321, -35], [198, 352, -29], [183, 369, -20]]","(136, 258, 141, 213)","(206, 364)"
9,"[[193, 471, 0], [229, 417, 6], [239, 353, 8], [254, 312, 2], [276, 275, -3], [187, 334, 36], [217, 301, 19], [247, 279, 3], [270, 260, -6], [168, 333, 21], [211, 290, 0], [250, 276, -12], [270, 260, -18], [151, 338, 3], [201, 300, -25], [214, 340, -26], [203, 363, -18], [137, 348, -13], [188, 317, -32], [199, 348, -28], [187, 368, -20]]","(137, 260, 139, 211)","(206, 365)"
10,"[[192, 469, 0], [229, 417, 5], [240, 354, 5], [256, 312, -1], [281, 277, -7], [193, 332, 32], [223, 300, 15], [252, 279, 0], [274, 259, -11], [173, 331, 18], [215, 289, -2], [252, 278, -15], [271, 261, -21], [154, 337, 1], [203, 299, -28], [215, 341, -27], [203, 362, -19], [138, 347, -15], [188, 319, -35], [198, 350, -30], [184, 368, -22]]","(138, 259, 143, 210)","(209, 364)"
11,"[[167, 471, 0], [219, 423, 5], [249, 366, 4], [275, 334, -3], [306, 312, -11], [196, 318, 25], [245, 305, 6], [284, 301, -11], [316, 297, -23], [174, 314, 10], [240, 295, -11], [281, 302, -24], [304, 299, -30], [156, 321, -7], [226, 312, -33], [228, 356, -32], [212, 376, -25], [144, 335, -26], [205, 333, -43], [208, 364, -38], [191, 378, -30]]","(144, 295, 172, 176)","(230, 383)"
12,"[[165, 472, 0], [215, 429, 3], [247, 376, 1], [272, 343, -6], [301, 317, -13], [198, 326, 20], [248, 310, 1], [288, 307, -16], [319, 304, -29], [176, 319, 6], [240, 301, -15], [287, 305, -28], [317, 304, -35], [159, 324, -9], [226, 315, -34], [229, 356, -31], [216, 375, -24], [147, 336, -25], [206, 334, -43], [207, 364, -38], [191, 377, -30]]","(147, 301, 172, 171)","(233, 386)"
13,"[[164, 472, 0], [215, 428, 8], [245, 374, 8], [272, 341, 2], [305, 318, -4], [196, 325, 27], [245, 310, 9], [283, 306, -7], [314, 303, -20], [174, 319, 11], [239, 302, -10], [283, 306, -23], [312, 303, -31], [157, 324, -7], [225, 317, -32], [225, 358, -30], [208, 375, -23], [146, 337, -25], [206, 335, -43], [205, 366, -36], [186, 378, -28]]","(146, 302, 168, 170)","(230, 387)"
14,"[[163, 471, 0], [213, 427, 7], [243, 371, 8], [269, 338, 2], [302, 313, -3], [194, 324, 27], [242, 310, 11], [279, 304, -5], [310, 299, -18], [173, 318, 12], [235, 301, -7], [279, 304, -20], [307, 299, -27], [155, 323, -5], [222, 317, -29], [223, 356, -27], [208, 373, -20], [143, 337, -24], [203, 334, -40], [204, 364, -34], [187, 376, -26]]","(143, 299, 167, 172)","(226, 385)"
15,"[[164, 471, 0], [213, 426, 6], [244, 370, 6], [270, 337, 0], [301, 312, -7], [190, 324, 25], [238, 307, 7], [277, 302, -9], [308, 298, -22], [169, 319, 10], [233, 300, -10], [277, 303, -23], [304, 299, -30], [152, 325, -7], [220, 315, -31], [223, 355, -29], [209, 372, -22], [142, 339, -25], [202, 335, -41], [203, 365, -35], [186, 376, -27]]","(142, 298, 166, 173)","(225, 384)"
16,"[[165, 469, 0], [215, 426, 5], [245, 372, 4], [271, 339, -3], [303, 314, -10], [195, 323, 23], [244, 307, 6], [282, 304, -11], [314, 301, -24], [174, 317, 9], [239, 301, -10], [282, 304, -23], [308, 301, -31], [156, 323, -7], [225, 314, -31], [227, 355, -28], [212, 373, -22], [143, 337, -24], [204, 334, -41], [204, 365, -35], [187, 377, -27]]","(143, 301, 171, 168)","(228, 385)"
17,"[[165, 466, 0], [215, 425, 4], [245, 371, 3], [273, 338, -3], [305, 315, -10], [199, 322, 22], [247, 308, 4], [285, 305, -12], [316, 303, -24], [177, 315, 8], [241, 301, -11], [283, 305, -23], [310, 302, -30], [158, 320, -7], [226, 315, -30], [228, 354, -28], [214, 373, -21], [145, 334, -24], [204, 335, -40], [205, 365, -35], [189, 377, -28]]","(145, 301, 171, 165)","(230, 383)"
18,"[[162, 466, 0], [213, 426, 3], [246, 373, 2], [272, 341, -4], [305, 318, -11], [201, 321, 19], [251, 309, 1], [288, 307, -16], [319, 305, -28], [178, 314, 5], [241, 300, -15], [284, 306, -28], [311, 304, -35], [159, 319, -9], [226, 314, -33], [228, 354, -31], [214, 372, -24], [146, 334, -26], [205, 337, -43], [205, 366, -38], [189, 377, -31]]","(146, 300, 173, 166)","(232, 383)"
19,"[[145, 462, 0], [203, 425, 2], [242, 378, 0], [273, 352, -9], [309, 337, -17], [196, 311, 16], [251, 313, -4], [292, 323, -24], [325, 331, -39], [174, 303, 2], [245, 306, -22], [286, 321, -37], [315, 326, -44], [157, 310, -14], [229, 326, -38], [223, 366, -36], [207, 382, -30], [147, 325, -31], [207, 347, -48], [201, 375, -43], [183, 382, -37]]","(145, 303, 180, 159)","(235, 382)"
20,"[[144, 460, 0], [202, 424, 5], [242, 377, 3], [273, 352, -5], [309, 337, -12], [196, 314, 16], [250, 316, -3], [290, 323, -22], [323, 330, -36], [174, 305, 1], [243, 306, -22], [287, 319, -36], [317, 324, -43], [157, 311, -16], [229, 323, -39], [225, 364, -35], [209, 380, -28], [146, 328, -34], [207, 347, -51], [201, 375, -46], [182, 382, -39]]","(144, 305, 179, 155)","(233, 382)"
21,"[[146, 460, 0], [201, 425, 4], [241, 378, 1], [274, 352, -6], [311, 337, -13], [196, 313, 14], [250, 315, -4], [290, 322, -22], [323, 331, -36], [174, 304, 0], [243, 308, -21], [286, 321, -34], [316, 325, -41], [157, 310, -16], [228, 325, -37], [224, 363, -34], [208, 378, -28], [146, 327, -33], [206, 348, -49], [201, 376, -45], [184, 383, -38]]","(146, 304, 177, 156)","(234, 382)"
22,"[[147, 460, 0], [203, 423, 5], [241, 378, 3], [272, 353, -4], [307, 339, -12], [195, 314, 17], [251, 315, -3], [291, 322, -22], [324, 331, -37], [174, 305, 1], [243, 307, -21], [286, 321, -35], [315, 325, -43], [157, 311, -15], [228, 323, -38], [224, 363, -35], [207, 378, -28], [148, 328, -33], [206, 347, -50], [200, 375, -46], [182, 381, -39]]","(147, 305, 177, 155)","(235, 382)"
23,"[[148, 459, 0], [202, 423, 4], [242, 376, 1], [272, 351, -6], [307, 337, -13], [196, 313, 13], [251, 313, -5], [291, 321, -25], [324, 328, -39], [174, 303, 0], [243, 307, -22], [285, 320, -36], [314, 323, -44], [157, 309, -16], [228, 322, -38], [224, 361, -35], [208, 375, -28], [146, 325, -33], [206, 345, -49], [200, 372, -45], [182, 378, -39]]","(146, 303, 178, 156)","(235, 381)"
24,"[[144, 458, 0], [201, 421, 5], [240, 375, 2], [271, 351, -5], [307, 337, -12], [193, 312, 16], [250, 312, -3], [291, 320, -23], [324, 328, -37], [171, 304, 1], [242, 306, -21], [284, 319, -34], [312, 322, -42], [155, 310, -15], [227, 321, -38], [224, 360, -34], [208, 374, -28], [145, 328, -33], [205, 344, -50], [200, 372, -46], [182, 378, -39]]","(144, 304, 180, 154)","(234, 381)"
25,"[[152, 450, 0], [200, 412, 5], [236, 364, 3], [264, 337, -3], [295, 321, -9], [194, 306, 17], [244, 300, -1], [284, 302, -18], [315, 308, -31], [172, 299, 3], [238, 293, -17], [282, 304, -30], [310, 309, -37], [153, 304, -12], [217, 305, -36], [218, 345, -34], [205, 365, -26], [139, 319, -28], [195, 328, -45], [195, 357, -40], [181, 369, -32]]","(139, 293, 176, 157)","(227, 371)"
26,"[[159, 451, 0], [203, 409, 7], [231, 357, 8], [255, 326, 3], [284, 304, -1], [184, 313, 26], [228, 296, 9], [265, 289, -7], [295, 282, -19], [165, 306, 11], [223, 286, -8], [267, 287, -21], [296, 282, -28], [147, 309, -5], [209, 296, -31], [211, 336, -28], [197, 355, -20], [133, 320, -22], [189, 315, -41], [191, 345, -35], [176, 358, -26]]","(133, 282, 163, 169)","(214, 366)"
27,"[[176, 451, 0], [214, 404, 3], [237, 343, 2], [258, 304, -3], [284, 270, -9], [182, 316, 28], [218, 287, 10], [252, 269, -6], [280, 255, -16], [164, 314, 16], [211, 278, -4], [252, 271, -16], [277, 258, -21], [146, 319, 0], [201, 289, -27], [210, 329, -26], [199, 350, -18], [132, 328, -14], [186, 307, -33], [194, 336, -27], [181, 353, -17]]","(132, 255, 152, 196)","(208, 353)"
28,"[[176, 454, 0], [217, 407, 5], [235, 346, 6], [256, 306, 0], [283, 272, -4], [187, 319, 33], [223, 289, 16], [256, 271, 0], [282, 255, -11], [167, 315, 19], [216, 278, -2], [257, 269, -15], [282, 255, -22], [149, 319, 1], [205, 289, -27], [212, 331, -26], [198, 352, -18], [135, 329, -16], [190, 306, -35], [196, 338, -30], [180, 355, -22]]","(135, 255, 148, 199)","(209, 354)"
29,"[[185, 455, 0], [221, 405, 3], [238, 345, 3], [256, 305, -3], [281, 270, -8], [184, 318, 29], [219, 288, 11], [252, 269, -6], [279, 253, -16], [165, 317, 16], [213, 277, -5], [255, 267, -18], [281, 255, -24], [148, 321, 0], [204, 290, -30], [214, 332, -29], [202, 354, -20], [136, 332, -17], [190, 309, -36], [197, 340, -30], [183, 358, -21]]","(136, 253, 145, 202)","(208, 354)"
30,"[[185, 456, 0], [223, 404, 6], [237, 343, 7], [255, 303, 1], [279, 269, -4], [183, 319, 35], [217, 289, 17], [250, 268, 1], [276, 251, -9], [164, 318, 20], [212, 277, -1], [254, 267, -14], [278, 252, -19], [147, 323, 2], [204, 290, -27], [215, 333, -27], [202, 355, -18], [135, 332, -15], [190, 307, -35], [198, 339, -29], [182, 357, -20]]","(135, 251, 144, 205)","(207, 353)"
31,"[[184, 459, 0], [223, 406, 7], [237, 344, 9], [254, 303, 2], [278, 267, -2], [184, 322, 36], [217, 290, 20], [249, 269, 3], [274, 251, -6], [165, 320, 22], [213, 279, 1], [253, 267, -12], [276, 251, -18], [148, 325, 3], [202, 290, -25], [213, 331, -26], [200, 353, -18], [135, 334, -14], [189, 307, -33], [197, 339, -28], [183, 358, -20]]","(135, 251, 143, 208)","(206, 355)"
32,"[[197, 457, 0], [230, 402, 5], [242, 340, 6], [257, 300, 0], [278, 263, -6], [184, 322, 32], [215, 289, 14], [246, 267, -2], [271, 248, -13], [166, 322, 18], [210, 277, -3], [251, 265, -17], [272, 249, -22], [150, 328, 0], [204, 291, -29], [216, 333, -28], [204, 355, -19], [140, 338, -17], [191, 309, -36], [200, 341, -29], [186, 359, -19]]","(140, 248, 138, 209)","(209, 352)"
33,"[[197, 463, 0], [232, 406, 9], [241, 344, 11], [255, 304, 5], [277, 267, 0], [181, 325, 38], [216, 290, 21], [248, 266, 4], [272, 246, -6], [163, 326, 22], [211, 278, 0], [251, 268, -13], [269, 254, -18], [150, 331, 2], [205, 292, -27], [220, 334, -26], [207, 357, -17], [142, 341, -17], [194, 309, -35], [205, 340, -28], [190, 360, -18]]","(142, 246, 135, 217)","(209, 354)"
34,"[[201, 465, 0], [234, 405, 11], [242, 344, 13], [256, 303, 7], [276, 266, 1], [175, 329, 38], [214, 290, 21], [247, 266, 6], [270, 246, -3], [158, 331, 21], [208, 283, 0], [242, 292, -12], [250, 294, -16], [149, 335, 1], [206, 294, -27], [222, 336, -25], [208, 357, -16], [144, 342, -17], [196, 308, -34], [208, 340, -27], [193, 360, -18]]","(144, 246, 132, 219)","(210, 355)"
