,lmList,bbox,center
0,"[[561, 559, 0], [517, 508, -19], [503, 431, -28], [496, 368, -39], [476, 326, -47], [573, 377, -11], [617, 319, -42], [643, 288, -58], [673, 259, -66], [605, 402, -14], [610, 382, -51], [572, 433, -48], [572, 441, -36], [632, 431, -22], [637, 413, -62], [596, 456, -44], [593, 460, -21], [655, 462, -33], [661, 449, -53], [625, 474, -39], [616, 480, -21]]","(476, 259, 197, 300)","(574, 409)"
1,"[[562, 557, 0], [517, 506, -20], [503, 429, -30], [495, 367, -42], [475, 325, -52], [574, 377, -12], [618, 319, -44], [644, 288, -59], [675, 259, -67], [606, 402, -16], [611, 383, -55], [573, 434, -52], [573, 440, -40], [632, 431, -25], [637, 416, -65], [596, 458, -47], [594, 460, -24], [656, 461, -36], [660, 450, -57], [625, 475, -43], [618, 480, -26]]","(475, 259, 200, 298)","(575, 408)"
2,"[[563, 557, 0], [519, 508, -23], [504, 432, -33], [497, 367, -44], [477, 326, -52], [574, 378, -15], [617, 320, -50], [643, 289, -66], [675, 259, -74], [606, 403, -16], [612, 382, -54], [573, 435, -48], [574, 439, -33], [633, 431, -24], [638, 415, -65], [597, 459, -45], [597, 459, -20], [657, 460, -35], [660, 450, -55], [627, 475, -39], [620, 480, -21]]","(477, 259, 198, 298)","(576, 408)"
3,"[[561, 557, 0], [518, 506, -20], [506, 429, -28], [500, 367, -38], [482, 325, -45], [575, 377, -11], [620, 321, -43], [647, 292, -58], [678, 264, -66], [607, 403, -13], [614, 384, -51], [575, 434, -47], [575, 438, -35], [633, 432, -22], [640, 416, -61], [598, 458, -43], [595, 457, -21], [655, 463, -33], [661, 452, -53], [626, 476, -39], [618, 480, -22]]","(482, 264, 196, 293)","(580, 410)"
4,"[[559, 558, 0], [518, 506, -20], [506, 428, -28], [502, 365, -37], [482, 323, -44], [576, 377, -11], [621, 323, -44], [649, 294, -61], [681, 266, -71], [608, 404, -14], [613, 383, -52], [575, 432, -49], [574, 438, -38], [634, 433, -23], [640, 415, -62], [598, 456, -45], [596, 457, -23], [655, 464, -34], [661, 452, -54], [626, 475, -39], [618, 479, -23]]","(482, 266, 199, 292)","(581, 412)"
5,"[[560, 555, 0], [519, 502, -22], [507, 427, -31], [504, 363, -42], [485, 320, -49], [579, 375, -11], [625, 322, -43], [653, 295, -59], [686, 267, -67], [609, 403, -13], [619, 383, -50], [579, 432, -46], [577, 435, -34], [635, 433, -21], [644, 416, -61], [601, 457, -44], [595, 456, -22], [656, 464, -32], [665, 454, -53], [629, 477, -39], [618, 481, -22]]","(485, 267, 201, 288)","(585, 411)"
6,"[[556, 550, 0], [519, 494, -17], [510, 421, -25], [511, 358, -34], [494, 316, -41], [583, 372, -8], [634, 322, -40], [664, 296, -57], [697, 270, -66], [612, 401, -11], [625, 378, -48], [583, 424, -46], [580, 430, -35], [634, 432, -21], [648, 412, -59], [603, 450, -42], [596, 452, -21], [653, 464, -32], [665, 450, -51], [628, 471, -36], [616, 476, -20]]","(494, 270, 203, 280)","(595, 410)"
7,"[[554, 550, 0], [515, 495, -20], [508, 418, -28], [509, 353, -38], [494, 310, -45], [581, 372, -9], [633, 321, -39], [662, 295, -53], [696, 270, -61], [609, 401, -12], [622, 377, -50], [579, 423, -48], [574, 432, -37], [631, 432, -21], [645, 412, -61], [599, 451, -44], [592, 456, -22], [650, 465, -32], [662, 450, -53], [625, 472, -39], [613, 478, -23]]","(494, 270, 202, 280)","(595, 410)"
8,"[[550, 554, 0], [512, 499, -22], [505, 421, -30], [506, 355, -40], [489, 311, -46], [580, 374, -9], [630, 323, -40], [660, 297, -55], [694, 272, -62], [609, 404, -12], [620, 381, -48], [577, 427, -43], [575, 433, -30], [631, 435, -21], [642, 417, -60], [597, 455, -43], [593, 456, -21], [650, 469, -33], [658, 457, -53], [622, 477, -39], [612, 481, -22]]","(489, 272, 205, 282)","(591, 413)"
9,"[[550, 554, 0], [512, 500, -20], [505, 420, -30], [506, 355, -40], [488, 311, -49], [579, 375, -11], [631, 324, -42], [661, 298, -56], [695, 273, -64], [608, 405, -15], [621, 383, -53], [577, 429, -50], [574, 434, -38], [631, 436, -24], [643, 418, -65], [597, 457, -47], [592, 458, -25], [651, 469, -37], [661, 457, -58], [623, 480, -44], [612, 484, -27]]","(488, 273, 207, 281)","(591, 413)"
